LINE,END_WORD
"Ain't gotta sell it, but he say the pussy a drug that he re-up on",on
Spur of the moment I ball like Ginobli you bitches get D'ed up on,on
You mad at me go get mad at your nigga 'fore I put my sneakers on,on
"He cop me this wrist game, now it's just us at the Knicks game",game
"I might have to take him on tour just to fuck in Australia, Brisbane",brisbane
Your time is ticking you bitches will be around shorter than Vine vids,vids
You watch your mouth or my niggas will shoot up the club like what Shyne did,did
"Bitches ain't stupid, you bitches ain't stupid",stupid
"You bitches ain't stupid, is you?",you
Front like she tough but that bitch keep on crying,crying
Get this bitch a tissue,tissue
For what it's worth when I took him I could tell he would never miss you,you
"I ain't even wanna diss you, but tell me what is this bitch issue?",issue
"Still on top, pretty pretty bitch gang",gang
"Pussy pussy still tight, pistol pistol still bang",bang
Yo nigga call me big mama,mama
Let him eat the pussy then I dip on him,him
"On a real nigga, I'm a real nigga",nigga
I run around with them real niggas,niggas
"Got real sons, I need a real sitter",sitter
"When I leave niggas, they get real bitter",bitter
"Roll upon ya, roll upon ya",ya
"Eight mil on that new thing, tied up like my shoe string",string
"Ain't fucking with you bitch niggas, and that's real rap but I do sing",sing
"Make room when I come by, ain't speaking, I'm dumb high",high
"Just heard niggas got jokes, it's a matter of time before one dies",dies
"'Cause them dudes out and them tools out, all sixes like school's out",out
"Niggas know if they talk slick that I'm winter fresh, they'll get chewed out",out
"This shit ain't regular rich, so they end up in a ditch",ditch
"I'm not a regular bitch, so when niggas see me, they jump on my dick",dick
"He not a regular shooter, so when you see me, salute-a",salute-a
"Ain't got a knife in my hand, but I'm choppin' it up with some niggas from Cuba",cuba
"Ask Jay who he married, 80 thousand in Paris",paris
Stadiums with Queen B and that selfie got them aggy,aggy
"These bitches is light-weight, I'm always at fight-weight",fight-weight
"Wrist game is on ice skate, 'cause we move work through that Tri-State",tri-state
"'Cause them boys out, and them toys out, still banging that noise out",out
You could get it in the winter time or that Mayweather like Floyd's out,out
"All of these bitches in pocket, I'm 'bout to make a deposit",deposit
"Tell 'em to go 'head and gossip, as long as your house is the size of my closet",closet
"Anybody I call, they picks up, even if they was gettin' they dick sucked",sucked
"These niggas don't make a mix-up, tell 'em niggas go step they bricks up",up
Tell 'em niggas go step they bricks up (tell 'em niggas go step they bricks up),up
"When we bang, bye",bye
"Pop pills, now we Shanghai",shanghai
"Shanghai, Shanghai, Shanghai",shanghai
Am I just a fool?,fool
Blind and stupid for loving you,you
Am I just a silly girl?,girl
So young and naïve to think you were the one who came to take claim of this heart,heart
"Cold-hearted, shame you'll remain just a frame in the dark",dark
(And now the people),people
"The people are talking, the people are saying",saying
That you have been playing my heart like a grand piano,piano
"So play on, play on, play on",on
"Play on, play on, play on",on
"Play on, play on",on
Am I queen of fools?,fools
Wrapped up in lies and foolish jewels,jewels
What do I see in you?,you
Maybe I'm addicted to all the things you do,do
'Cause I keep thinking you were the one who came to take claim of this heart,heart
Pills and potions,potions
We're overdosing,overdosing
I'm angry but I still love you,you
Can't stand it but I still love you,you
"I still love, I still love",love
"I still lo-o-ove, I still love",love
Ayo they could never make me hate you,you
Even though what you was doing wasn't tasteful,tasteful
Even though you out here looking so ungrateful,ungrateful
"I'mma keep it moving, be classy and graceful",graceful
I told 'em it's no friends in the game,game
You ain't learned that yet,yet
"All the bridges you came over, don't burn that yet",yet
"Niggas want respect, but niggas ain't earned that yet",yet
"Self-righteous, and entitled",entitled
But they swearing on the Bible that they love you,you
When really they're no different from all your rivals,rivals
"But I still don't wish death on 'em, I just reflect on 'em",em
"Yo, people will love you and support you when it's beneficial",beneficial
"I'mma forgive, I won't forget, but I'mma dead the issue",issue
Soon as you out the niggas lives is when they start to miss you,you
They see you doing good now it's kinda hard to diss you,you
Niggas be sick when they remember all the bad they wished you,you
Niggas be mad when they can't come and live lavish with you,you
"But I sped off in the Benzy, I see the envy when I'm causing a frenzy",frenzy
"So I pop pills for 'em, cop cribs in the hills on 'em",em
I get high off your memory,memory
"In due time, we'll be fine",fine
In due time...,time
My Anaconda don't...,dont
My Anaconda don't want none unless you got buns hun,hun
Boy toy named Troy used to live in Detroit,detroit
"Big dope dealer money, he was getting some coins",coins
"Was in shootouts with the law, but he live in a palace",palace
"Bought me Alexander McQueen, he was keeping me stylish",stylish
"Now that's real, real, real,",real
"Gun in my purse, bitch I came dressed to kill",kill
Who wanna go first? I had 'em pushing daffodils,daffodils
"I'm high as hell, I only took a half a pill",pill
I'm on some dumb shit,shit
"By the way, what he say?",say
He can tell I ain't missing no meals,meals
Come through and fuck him in my automobile,automobile
"Let him eat it with his grills,",grills
He keep telling me to chill,chill
"He keep telling me it's real, that he love my sex appeal",appeal
"He said he don't like 'em boney, he want something he can grab",grab
"So I pulled up in the Jag, and I hit him with the jab like...",like
"Oh my gosh, look at her butt",butt
(look at her butt),butt
"Look at, look at, look at",at
"Look, at her butt",butt
This dude named Michael used to ride motorcycles,motorcycles
"Dick bigger than a tower, I ain't talking about Eiffel's",eiffels
"Real country-ass nigga, let me play with his rifle",rifle
"Pussy put his ass to sleep, now he calling me NyQuil",nyquil
"Now that bang bang bang,",bang
I let him hit it 'cause he slang Cocaine,cocaine
He toss my salad like his name Romaine,romaine
"And when we done, I make him buy me Balmain",balmain
"Because he don't like 'em boney, he want something he can grab",grab
"So I pulled up in the Jag, Mayweather with the jab like...",like
Little in the middle but she got much back,back
Oh my God (look at her butt),butt
(Don't don't don't) My Anaconda don't...,dont
(Don't don't don't) Don't want none unless you got buns hun,hun
"Yeah, he love this fat ass",ass
Yeah! This one is for my bitches with a fat ass in the fucking club,club
"I said, ""Where my fat ass big bitches in the club?""",club
"Fuck the skinny bitches,",bitches
Fuck the skinny bitches in the club,club
I wanna see all the big fat ass bitches in the motherfucking club,club
"Fuck you if you skinny bitches. What? Yeah. Ha-ha, ha... (Kyuh)",kyuh
Yeah. I got a big fat ass. Come on! (Kyuh),kyuh
"Brixton girls, dem a pat the pum pum",pum
"Dem a wine up dem waist, dem a pat the pum pum",pum
"Queens dem girls, dem a pat the pum pum",pum
"Trini dem girls, dem a pat the pum pum",pum
"Jamaica dem girls, dem a pat the pum pum",pum
"Yo, he in love with a ghetto girl",girl
He said he want a piece like Metta World,world
"Pat, pat on the kitty cat",cat
He don't mess with them...regulars,themregulars
He tryna kick it like a ninja,ninja
He tryna stick it like syringes,syringes
He don't ever play the benches,benches
So I'mma let him touch it if he playin' with some inches,inches
I know that you want it,it
I see that you watching,watching
You love when I wine it,it
You know that I'm sexy,sexy
I hope that you ready,ready
To come here and get it,it
Where di hot gyal dem,dem
Put it in his face like a cop badge,badge
He wanna pound it like a hashtag,hashtag
